time: 0.0282  current fps: 35.461  average fps:  35.623
time: 0.0342  current fps: 29.240  average fps:  29.240
time: 0.0270  current fps: 37.037  average fps:  33.138
time: 0.0276  current fps: 36.232  average fps:  34.170
time: 0.0300  current fps: 33.333  average fps:  33.960
time: 0.0276  current fps: 36.232  average fps:  34.415
time: 0.0276  current fps: 36.232  average fps:  34.718
time: 0.0282  current fps: 35.461  average fps:  34.824
time: 0.0276  current fps: 36.232  average fps:  35.000
time: 0.0282  current fps: 35.461  average fps:  35.051
time: 0.0282  current fps: 35.461  average fps:  35.092
time: 0.0294  current fps: 34.014  average fps:  34.994
time: 0.0282  current fps: 35.461  average fps:  35.033
time: 0.0294  current fps: 34.014  average fps:  34.955
time: 0.0288  current fps: 34.722  average fps:  34.938
time: 0.0294  current fps: 34.014  average fps:  34.876
time: 0.0306  current fps: 32.680  average fps:  34.739
time: 0.0270  current fps: 37.037  average fps:  34.874
time: 0.0276  current fps: 36.232  average fps:  34.950
time: 0.0288  current fps: 34.722  average fps:  34.938
time: 0.0276  current fps: 36.232  average fps:  35.002
time: 0.0282  current fps: 35.461  average fps:  35.024
time: 0.0282  current fps: 35.461  average fps:  35.044
time: 0.0270  current fps: 37.037  average fps:  35.131
time: 0.0270  current fps: 37.037  average fps:  35.210
time: 0.0282  current fps: 35.461  average fps:  35.220
time: 0.0276  current fps: 36.232  average fps:  35.259
time: 0.0270  current fps: 37.037  average fps:  35.325
time: 0.0294  current fps: 34.014  average fps:  35.278
time: 0.0288  current fps: 34.722  average fps:  35.259
time: 0.0276  current fps: 36.232  average fps:  35.291
time: 0.0270  current fps: 37.037  average fps:  35.348
time: 0.0276  current fps: 36.232  average fps:  35.375
time: 0.0276  current fps: 36.232  average fps:  35.401
time: 0.0282  current fps: 35.461  average fps:  35.403
